"","Station","Stratum","Stratum2","Year","Date","DateTime","Taxon","Genus","Species","AlgalType","Count","OrganismsPerMl"
"1","D12","Lower San Joaquin","Lower SJ",2022,2022-06-11,NA,"Cocconeis placentula","Cocconeis","placentula","Pennate Diatom",1,41.0686833298473
"2","D12","Lower San Joaquin","Lower SJ",2022,2022-06-11,NA,"cf. Cyclotella sp.","Cyclotella","sp.","Centric Diatom",5,205.343416649237
"3","D12","Lower San Joaquin","Lower SJ",2022,2022-06-11,NA,"Navicula sp.","Navicula","sp.","Pennate Diatom",2,82.1373666596946
"4","D12","Lower San Joaquin","Lower SJ",2022,2022-06-11,NA,"Monoraphidium sp.","Monoraphidium","sp.","Green Alga",1,41.0686833298473
"5","D12","Lower San Joaquin","Lower SJ",2022,2022-06-11,NA,"Cryptomonas sp.","Cryptomonas","sp.","Cryptophyte",1,41.0686833298473
"6","D12","Lower San Joaquin","Lower SJ",2022,2022-06-11,NA,"Plagioselmis nannoplanctica","Plagioselmis","nannoplanctica","Cryptophyte",29,1190.99181656557
"7","D12","Lower San Joaquin","Lower SJ",2022,2022-06-11,NA,"Eucapsis microscopica","Eucapsis","microscopica","Cyanobacterium",369,15154.3441487137
"8","D12","Lower San Joaquin","Lower SJ",2022,2022-06-11,NA,"Planktolyngbya sp.","Planktolyngbya","sp.","Cyanobacterium",2,82.1373666596946
"9","C9","Southern Delta","South Delta",2022,2022-06-20,NA,"Cocconeis placentula","Cocconeis","placentula","Pennate Diatom",1,36.5054962931976
"10","C9","Southern Delta","South Delta",2022,2022-06-20,NA,"Cyclotella sp.","Cyclotella","sp.","Centric Diatom",10,365.054962931976
"11","C9","Southern Delta","South Delta",2022,2022-06-20,NA,"Navicula sp.","Navicula","sp.","Pennate Diatom",1,36.5054962931976
"12","C9","Southern Delta","South Delta",2022,2022-06-20,NA,"Chlamydomonas sp.","Chlamydomonas","sp.","Green Alga",1,36.5054962931976
"13","C9","Southern Delta","South Delta",2022,2022-06-20,NA,"Lagerheimia genevensis","Lagerheimia","genevensis","Green Alga",1,36.5054962931976
"14","C9","Southern Delta","South Delta",2022,2022-06-20,NA,"Monoraphidium contortum","Monoraphidium","contortum","Green Alga",2,73.0109925863952
"15","C9","Southern Delta","South Delta",2022,2022-06-20,NA,"Monoraphidium minutum","Monoraphidium","minutum","Green Alga",3,109.516488879593
