"","Region...1","term","estimate","std.error","statistic","coef.type","Yearf","emmean","std.erroremm","df","conf.low","conf.high",".group","Year","Letter","Region...16","ctab.1","ctab.2","ctab.3","p"
"1","East Delta","Yearf2015",  2.205405227,1.088548e+00, 2.026006e+00,"coefficient","2015", -2.4000539,0.4371117,Inf, -3.2567770, -1.54333075," a",2015,"a","East Delta", 2.205405e+00, 1.088548e+00, 2.026006e+00,4.276417e-02
"2","East Delta","Yearf2016",  2.442539349,1.074755e+00, 2.272648e+00,"coefficient","2016", -2.1629198,0.3991401,Inf, -2.9452200, -1.38061955," a",2016,"a","East Delta", 2.442539e+00, 1.074755e+00, 2.272648e+00,2.304738e-02
"3","East Delta","Yearf2017", -0.504567781,1.435070e+00,-3.515980e-01,"coefficient","2017", -5.1100269,1.0348887,Inf, -7.1383715, -3.08168230," a",2017,"a","East Delta",-5.045678e-01, 1.435070e+00,-3.515980e-01,7.251397e-01
"4","East Delta","Yearf2018",  1.633221646,1.081074e+00, 1.510739e+00,"coefficient","2018", -2.9722375,0.4214807,Inf, -3.7983245, -2.14615043," a",2018,"a","East Delta", 1.633222e+00, 1.081074e+00, 1.510739e+00,1.308549e-01
"5","East Delta","Yearf2019",  0.788464369,1.143260e+00, 6.896634e-01,"coefficient","2019", -3.8169948,0.5636917,Inf, -4.9218102, -2.71217931," a",2019,"a","East Delta", 7.884644e-01, 1.143260e+00, 6.896634e-01,4.904059e-01
"6","East Delta","Yearf2020",  1.994477063,1.073376e+00, 1.858134e+00,"coefficient","2020", -2.6109821,0.3994204,Inf, -3.3938317, -1.82813238," a",2020,"a","East Delta", 1.994477e+00, 1.073376e+00, 1.858134e+00,6.314996e-02
"7","East Delta","Yearf2021",  2.191347388,1.075864e+00, 2.036826e+00,"coefficient","2021", -2.4141117,0.4046075,Inf, -3.2071278, -1.62109565," a",2021,"a","East Delta", 2.191347e+00, 1.075864e+00, 2.036826e+00,4.166745e-02
"8","East Delta","Absent|Low",  3.258458270,1.017854e+00, 3.201301e+00,"scale","t|Lo",NA,NA,NA,NA,NA,NA,NA,NA,"East Delta", 3.258458e+00, 1.017854e+00, 3.201301e+00,1.368085e-03
"9","East Delta","Low|High",  5.952459969,1.107523e+00, 5.374572e+00,"scale","igh",NA,NA,NA,NA,NA,NA,NA,NA,"East Delta", 5.952460e+00, 1.107523e+00, 5.374572e+00,7.676499e-08
"10","Lower Sac","Yearf2015", -0.023035259,3.279098e-01,-7.024876e-02,"coefficient","2015", -2.1167801,0.2899136,Inf, -2.6850004, -1.54855977,"    d",2015,"d","Lower Sac",-2.303526e-02, 3.279098e-01,-7.024876e-02,9.439957e-01
"11","Lower Sac","Yearf2016", -1.215946540,3.381434e-01,-3.595949e+00,"coefficient","2016", -3.3096914,0.3072874,Inf, -3.9119636, -2.70741909,"  bc ",2016,"bc","Lower Sac",-1.215947e+00, 3.381434e-01,-3.595949e+00,3.232106e-04
