station,sample_id,latitude_wgs84,longitude_wgs84,date,sav_incidence,species,species_incidence,rake_coverage_ordinal
A1,1,38.0222583,-121.6055783,2014-10-07,1,Egeria_densa,0,0
A1,1,38.0222583,-121.6055783,2014-10-07,1,Potamogeton_crispus,0,0
A1,1,38.0222583,-121.6055783,2014-10-07,1,Ceratophyllum_demersum,0,0
A1,1,38.0222583,-121.6055783,2014-10-07,1,Najas_guadalupensis,0,0
A1,1,38.0222583,-121.6055783,2014-10-07,1,Stuckenia_filiformis,0,0
A1,1,38.0222583,-121.6055783,2014-10-07,1,Stuckenia_pectinata,1,2
A1,1,38.0222583,-121.6055783,2014-10-07,1,Elodea_canadensis,1,1
A1,1,38.0222583,-121.6055783,2014-10-07,1,Potamogeton_richardsonii,0,0
A1,1,38.0222583,-121.6055783,2014-10-07,1,Potamogeton_foliosus,0,0
A1,1,38.0222583,-121.6055783,2014-10-07,1,Potamogeton_nodosus,0,0
A1,1,38.0222583,-121.6055783,2014-10-07,1,Nitella_sp,0,0
A1,1,38.0222583,-121.6055783,2014-10-07,1,Potamogeton_pusillus,0,0
A1,1,38.0222583,-121.6055783,2014-10-07,1,Myriophyllum_spicatum,0,0
A1,1,38.0222583,-121.6055783,2014-10-07,1,Potamogeton_zosteriformis,0,0
A1,1,38.0222583,-121.6055783,2014-10-07,1,Heteranthera_dubia,0,0
A3,196,38.024014,-121.600948,2014-10-07,1,Egeria_densa,0,0
A3,196,38.024014,-121.600948,2014-10-07,1,Potamogeton_crispus,0,0
A3,196,38.024014,-121.600948,2014-10-07,1,Ceratophyllum_demersum,1,1
A3,196,38.024014,-121.600948,2014-10-07,1,Najas_guadalupensis,0,0
A3,196,38.024014,-121.600948,2014-10-07,1,Stuckenia_filiformis,0,0
A3,196,38.024014,-121.600948,2014-10-07,1,Stuckenia_pectinata,0,0
A3,196,38.024014,-121.600948,2014-10-07,1,Elodea_canadensis,0,0
A3,196,38.024014,-121.600948,2014-10-07,1,Potamogeton_richardsonii,1,4
A3,196,38.024014,-121.600948,2014-10-07,1,Potamogeton_foliosus,0,0
A3,196,38.024014,-121.600948,2014-10-07,1,Potamogeton_nodosus,0,0
A3,196,38.024014,-121.600948,2014-10-07,1,Nitella_sp,0,0
A3,196,38.024014,-121.600948,2014-10-07,1,Potamogeton_pusillus,0,0
A3,196,38.024014,-121.600948,2014-10-07,1,Myriophyllum_spicatum,0,0
A3,196,38.024014,-121.600948,2014-10-07,1,Potamogeton_zosteriformis,0,0
A3,196,38.024014,-121.600948,2014-10-07,1,Heteranthera_dubia,0,0
A5,240,38.0241048,-121.6055783,2014-10-07,1,Egeria_densa,0,0
A5,240,38.0241048,-121.6055783,2014-10-07,1,Potamogeton_crispus,0,0
A5,240,38.0241048,-121.6055783,2014-10-07,1,Ceratophyllum_demersum,0,0
A5,240,38.0241048,-121.6055783,2014-10-07,1,Najas_guadalupensis,1,1
A5,240,38.0241048,-121.6055783,2014-10-07,1,Stuckenia_filiformis,0,0
A5,240,38.0241048,-121.6055783,2014-10-07,1,Stuckenia_pectinata,0,0
A5,240,38.0241048,-121.6055783,2014-10-07,1,Elodea_canadensis,1,2
A5,240,38.0241048,-121.6055783,2014-10-07,1,Potamogeton_richardsonii,0,0
A5,240,38.0241048,-121.6055783,2014-10-07,1,Potamogeton_foliosus,0,0
A5,240,38.0241048,-121.6055783,2014-10-07,1,Potamogeton_nodosus,0,0
A5,240,38.0241048,-121.6055783,2014-10-07,1,Nitella_sp,0,0
A5,240,38.0241048,-121.6055783,2014-10-07,1,Potamogeton_pusillus,0,0
A5,240,38.0241048,-121.6055783,2014-10-07,1,Myriophyllum_spicatum,0,0
A5,240,38.0241048,-121.6055783,2014-10-07,1,Potamogeton_zosteriformis,0,0
A5,240,38.0241048,-121.6055783,2014-10-07,1,Heteranthera_dubia,0,0
A7,284,38.0259816,-121.6097878,2014-10-07,1,Egeria_densa,0,0
A7,284,38.0259816,-121.6097878,2014-10-07,1,Potamogeton_crispus,0,0
A7,284,38.0259816,-121.6097878,2014-10-07,1,Ceratophyllum_demersum,1,1
A7,284,38.0259816,-121.6097878,2014-10-07,1,Najas_guadalupensis,0,0
A7,284,38.0259816,-121.6097878,2014-10-07,1,Stuckenia_filiformis,0,0
A7,284,38.0259816,-121.6097878,2014-10-07,1,Stuckenia_pectinata,0,0
A7,284,38.0259816,-121.6097878,2014-10-07,1,Elodea_canadensis,1,1
A7,284,38.0259816,-121.6097878,2014-10-07,1,Potamogeton_richardsonii,0,0
A7,284,38.0259816,-121.6097878,2014-10-07,1,Potamogeton_foliosus,0,0
A7,284,38.0259816,-121.6097878,2014-10-07,1,Potamogeton_nodosus,0,0
A7,284,38.0259816,-121.6097878,2014-10-07,1,Nitella_sp,0,0
A7,284,38.0259816,-121.6097878,2014-10-07,1,Potamogeton_pusillus,0,0
A7,284,38.0259816,-121.6097878,2014-10-07,1,Myriophyllum_spicatum,0,0
A7,284,38.0259816,-121.6097878,2014-10-07,1,Potamogeton_zosteriformis,0,0
A7,284,38.0259816,-121.6097878,2014-10-07,1,Heteranthera_dubia,0,0
A9,328,38.0259211,-121.6054635,2014-10-07,1,Egeria_densa,0,0
A9,328,38.0259211,-121.6054635,2014-10-07,1,Potamogeton_crispus,1,1
A9,328,38.0259211,-121.6054635,2014-10-07,1,Ceratophyllum_demersum,1,1
A9,328,38.0259211,-121.6054635,2014-10-07,1,Najas_guadalupensis,0,0
A9,328,38.0259211,-121.6054635,2014-10-07,1,Stuckenia_filiformis,0,0
A9,328,38.0259211,-121.6054635,2014-10-07,1,Stuckenia_pectinata,1,2
A9,328,38.0259211,-121.6054635,2014-10-07,1,Elodea_canadensis,0,0
A9,328,38.0259211,-121.6054635,2014-10-07,1,Potamogeton_richardsonii,0,0
A9,328,38.0259211,-121.6054635,2014-10-07,1,Potamogeton_foliosus,0,0
A9,328,38.0259211,-121.6054635,2014-10-07,1,Potamogeton_nodosus,0,0
A9,328,38.0259211,-121.6054635,2014-10-07,1,Nitella_sp,0,0
A9,328,38.0259211,-121.6054635,2014-10-07,1,Potamogeton_pusillus,0,0
A9,328,38.0259211,-121.6054635,2014-10-07,1,Myriophyllum_spicatum,0,0
A9,328,38.0259211,-121.6054635,2014-10-07,1,Potamogeton_zosteriformis,0,0
A9,328,38.0259211,-121.6054635,2014-10-07,1,Heteranthera_dubia,0,0
A11,20,38.0258303,-121.6006801,2014-10-07,1,Egeria_densa,0,0
A11,20,38.0258303,-121.6006801,2014-10-07,1,Potamogeton_crispus,0,0
A11,20,38.0258303,-121.6006801,2014-10-07,1,Ceratophyllum_demersum,0,0
A11,20,38.0258303,-121.6006801,2014-10-07,1,Najas_guadalupensis,0,0
A11,20,38.0258303,-121.6006801,2014-10-07,1,Stuckenia_filiformis,0,0
A11,20,38.0258303,-121.6006801,2014-10-07,1,Stuckenia_pectinata,1,3
A11,20,38.0258303,-121.6006801,2014-10-07,1,Elodea_canadensis,0,0
A11,20,38.0258303,-121.6006801,2014-10-07,1,Potamogeton_richardsonii,1,2
A11,20,38.0258303,-121.6006801,2014-10-07,1,Potamogeton_foliosus,0,0
A11,20,38.0258303,-121.6006801,2014-10-07,1,Potamogeton_nodosus,0,0
A11,20,38.0258303,-121.6006801,2014-10-07,1,Nitella_sp,0,0
A11,20,38.0258303,-121.6006801,2014-10-07,1,Potamogeton_pusillus,0,0
A11,20,38.0258303,-121.6006801,2014-10-07,1,Myriophyllum_spicatum,0,0
A11,20,38.0258303,-121.6006801,2014-10-07,1,Potamogeton_zosteriformis,0,0
A11,20,38.0258303,-121.6006801,2014-10-07,1,Heteranthera_dubia,0,0
A13,54,38.0276768,-121.5985371,2014-10-07,1,Egeria_densa,0,0
A13,54,38.0276768,-121.5985371,2014-10-07,1,Potamogeton_crispus,0,0
A13,54,38.0276768,-121.5985371,2014-10-07,1,Ceratophyllum_demersum,1,3
A13,54,38.0276768,-121.5985371,2014-10-07,1,Najas_guadalupensis,1,1
A13,54,38.0276768,-121.5985371,2014-10-07,1,Stuckenia_filiformis,0,0
A13,54,38.0276768,-121.5985371,2014-10-07,1,Stuckenia_pectinata,0,0
A13,54,38.0276768,-121.5985371,2014-10-07,1,Elodea_canadensis,1,1
A13,54,38.0276768,-121.5985371,2014-10-07,1,Potamogeton_richardsonii,1,3
A13,54,38.0276768,-121.5985371,2014-10-07,1,Potamogeton_foliosus,0,0
A13,54,38.0276768,-121.5985371,2014-10-07,1,Potamogeton_nodosus,0,0
A13,54,38.0276768,-121.5985371,2014-10-07,1,Nitella_sp,0,0
A13,54,38.0276768,-121.5985371,2014-10-07,1,Potamogeton_pusillus,0,0
A13,54,38.0276768,-121.5985371,2014-10-07,1,Myriophyllum_spicatum,0,0
A13,54,38.0276768,-121.5985371,2014-10-07,1,Potamogeton_zosteriformis,0,0
A13,54,38.0276768,-121.5985371,2014-10-07,1,Heteranthera_dubia,0,0
A15,88,38.0276162,-121.6031675,2014-10-07,1,Egeria_densa,1,1
A15,88,38.0276162,-121.6031675,2014-10-07,1,Potamogeton_crispus,0,0
A15,88,38.0276162,-121.6031675,2014-10-07,1,Ceratophyllum_demersum,1,1
A15,88,38.0276162,-121.6031675,2014-10-07,1,Najas_guadalupensis,1,1
A15,88,38.0276162,-121.6031675,2014-10-07,1,Stuckenia_filiformis,0,0
A15,88,38.0276162,-121.6031675,2014-10-07,1,Stuckenia_pectinata,1,3
A15,88,38.0276162,-121.6031675,2014-10-07,1,Elodea_canadensis,1,1
A15,88,38.0276162,-121.6031675,2014-10-07,1,Potamogeton_richardsonii,1,2
