site,year,month,veg_type,area_ha,area_prop_h,area_prop_w
Big Break,2004,6,sav,330.58,0.3126761629116773,0.4763400576368876
Big Break,2004,6,fav,14.919999999999998,0.014111949756918827,0.021498559077809797
Big Break,2005,6,sav,285.47,0.2703621623669356,0.41134005763688763
Big Break,2005,6,fav,11.26,0.010664090616357919,0.01622478386167147
Big Break,2006,6,sav,511.35,0.4862729062259289,0.7368155619596543
Big Break,2006,6,fav,19.060000000000002,0.018125279344218648,0.02746397694524496
Big Break,2007,6,sav,311.52,0.29454256646874166,0.44887608069164264
Big Break,2007,6,fav,5.33,0.0050395219545402966,0.007680115273775216
Big Break,2008,6,sav,50.11,0.04741358918315403,0.07220461095100865
Big Break,2008,6,fav,7.5600000000000005,0.00715319764966363,0.010893371757925072
Big Break,2014,11,sav,138.16,0.13133329530979676,0.1990778097982709
Big Break,2014,11,fav,87.71,0.0833761098119736,0.12638328530259366
Big Break,2015,9,sav,338.64,0.32180936995153475,0.4879538904899135
Big Break,2015,9,fav,78.21,0.07432291171719091,0.11269452449567723
Big Break,2016,10,sav,400.6,0.38103028458377725,0.5772334293948127
Big Break,2016,10,fav,80.16999999999999,0.07625361436615431,0.11551873198847261
Big Break,2017,10,sav,527.96,0.5040046585777973,0.7607492795389049
Big Break,2017,10,fav,82.69,0.07893807337260031,0.11914985590778097
Big Break,2018,10,sav,444.71,0.4205096685735899,0.6407925072046109
Big Break,2018,10,fav,75.47,0.071363056120278,0.10874639769452449
Big Break,2019,10,sav,430.33,0.4090122799680645,0.62007204610951006
Big Break,2019,10,fav,68.22999999999999,0.06485001710831464,0.09831412103746397
Big Break,2020,7,sav,503.27,0.47787568604364095,0.7251729106628242
Big Break,2020,7,fav,74.17999999999999,0.07043697893917238,0.10688760806916425
Big Break,2021,7,sav,218.8792,0.24530975625391985,0.3153878962536023
Big Break,2021,7,fav,83.02,0.09304500365589981,0.11962536023054754
Clifton Court,2004,6,sav,19.84,0.019883345693612074,0.021471861471861472
Clifton Court,2004,6,fav,0.43,4.309394479966326e-4,4.6536796536796537e-4
Clifton Court,2005,6,sav,25.55,0.025791147226568417,0.027651515151515153
Clifton Court,2005,6,fav,0.05,5.0471912380760114e-5,5.411255411255411e-5
Clifton Court,2006,6,sav,6.38,0.006393874708116613,0.006904761904761905
Clifton Court,2006,6,fav,0.5800000000000001,5.812613371015104e-4,6.277056277056278e-4
Clifton Court,2007,6,sav,7.06,0.007074077414053967,0.007640692640692641
Clifton Court,2007,6,fav,0.1,1.0019939679963127e-4,1.0822510822510823e-4
Clifton Court,2008,6,sav,42.2,0.042312551386688595,0.045670995670995675
Clifton Court,2008,6,fav,1.49,0.0014939739707622276,0.0016125541125541125
Clifton Court,2014,11,sav,76.67,0.0768228775262773,0.08297619047619048
Clifton Court,2014,11,fav,4.71,0.0047193915892626325,0.005097402597402597
Clifton Court,2015,9,sav,328.36,0.3291664578216631,0.3553679653679654
Clifton Court,2015,9,fav,0.78,7.8191569344895e-4,8.441558441558442e-4
Clifton Court,2019,10,sav,527.3,0.5256651812861999,0.5706709956709957
Clifton Court,2019,10,fav,0.8400000000000001,8.373956993749441e-4,9.090909090909092e-4
Clifton Court,2020,7,sav,186.5,0.18894494762223166,0.20183982683982685
Clifton Court,2020,7,fav,4.3,0.004356371446517942,0.004653679653679654
Clifton Court,2021,7,sav,340.6656,0.3692717533540242,0.3686857142857143
Clifton Court,2021,7,fav,0.30000000000000004,3.251914076625502e-4,3.2467532467532473e-4
Delta Common Area,2004,6,sav,2558,0.157,0.15710600663309177
Delta Common Area,2004,6,fav,514,0.031,0.03156860336567989
Delta Common Area,2005,6,sav,2284,0.14,0.1402776071735659
Delta Common Area,2005,6,fav,278,0.017,0.017074069524628425
Delta Common Area,2006,6,sav,2457,0.151,0.15090283748925193
Delta Common Area,2006,6,fav,540,0.034,0.03316545878884658
Delta Common Area,2007,6,sav,2442,0.15,0.1499815747451173
Delta Common Area,2007,6,fav,257,0.016,0.015784301682839945
Delta Common Area,2008,6,sav,1161,0.071,0.07130573639602014
Delta Common Area,2008,6,fav,240,0.015,0.014740203906154036
Delta Common Area,2014,11,sav,2094,0.129,0.12860827908119396
Delta Common Area,2014,11,fav,1078,0.066,0.06620808254514188
Delta Common Area,2015,9,sav,3436,0.211,0.21103058592310528
Delta Common Area,2015,9,fav,689,0.041999999999999996,0.04231666871391721
Delta Common Area,2016,10,sav,2881,0.177,0.17694386439012405
Delta Common Area,2016,10,fav,641,0.039,0.039368627932686404
Delta Common Area,2017,10,sav,4293,0.264,0.2636653973713303
Delta Common Area,2017,10,fav,779,0.048,0.04784424517872497
Delta Common Area,2018,10,sav,4416,0.271,0.27121975187323427
Delta Common Area,2018,10,fav,654,0.04,0.04016705564426975
Delta Common Area,2019,10,sav,3987,0.245,0.24487163739098392
Delta Common Area,2019,10,fav,794,0.049,0.0487655079228596
Delta Common Area,2020,7,sav,3776,0.232,0.2319125414568235
Delta Common Area,2020,7,fav,746,0.062,0.04581746714162879
Delta Common Area,2021,7,sav,3992.31,0.18395927774864598,0.24519776440240756
Delta Common Area,2021,7,fav,759.55,0.034998852647711236,0.046649674487163735
Franks Tract,2004,6,sav,852.29,0.40582532593065224,0.4624470971242539
Franks Tract,2004,6,fav,15.32,0.007294751778452866,0.008312533912099837
Franks Tract,2005,6,sav,469.6,0.22368721896196936,0.25480195333695066
Franks Tract,2005,6,fav,12.63,0.006016119198231842,0.0068529571351058065
Franks Tract,2006,6,sav,642.24,0.3052036306610274,0.3484753119913185
Franks Tract,2006,6,fav,10.530000000000001,0.005004039348001711,0.00571351058057515
